ntot,workers,time_ms,pi
12000000,1,442.2638,3.1412003333333334
12000000,2,228.403999,3.1411593333333334
48000000,1,1797.9249,3.14181875
48000000,2,904.516801,3.14165975
120000000,1,4366.826499,3.1417219333333333
120000000,2,2297.4082,3.1416618333333335
